Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,LMT,49.8956,51.5012,49.4331,30.0245,32.5024,29.7306,42.4641,44.8885,35.4426,20.0092,23.9326,19.5168,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme-FedAvg,49.5598,51.106,49.1581,30.3061,32.865,29.9714,42.3399,44.6339,36.038,19.7842,23.7197,18.7549,,51.6129
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Proposed-A,48.8482,50.3204,48.5044,30.1273,31.9569,30.1273,43.6604,45.7589,37.608,19.806,23.7089,18.7156,,54.8387
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,LMT,18.6535,22.4069,13.775,22.2919,25.6139,22.0651,21.1246,25.7449,20.5976,21.4661,25.1647,20.8592,,18.75
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme-FedAvg,17.3636,20.5426,13.8102,22.2688,25.6122,22.069,20.5484,24.9525,20.2424,21.5586,25.2954,20.9936,,21.875
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Proposed-A,14.5216,17.4198,12.3404,22.471,25.8199,22.277,18.2476,22.731,16.7706,21.4997,25.0312,21.0549,,15.625
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,LMT,27.6307,33.1464,19.3985,26.7068,29.3127,26.2734,36.4986,41.6144,25.8013,26.311,32.3461,25.6052,,26.6667
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme-FedAvg,26.0141,30.6107,21.6225,27.1161,29.7517,26.8251,36.0329,41.109,25.9171,26.1752,32.2959,25.2869,,26.6667
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Proposed-A,25.4804,29.7727,21.4831,26.8024,29.3092,26.5181,35.3147,39.7442,26.3857,25.845,32.0147,24.9248,,36.6667
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,LMT,52.2938,54.5069,51.3429,31.0024,33.5414,30.7673,43.2297,46.7705,33.7052,20.3335,23.6558,19.6848,,51.6129
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme-FedAvg,52.7118,54.8937,51.8425,30.7092,33.1632,30.525,42.9103,46.3472,33.798,20.2883,23.4723,19.1831,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Proposed-A,51.7958,53.8755,50.6328,29.6269,31.4499,29.4149,43.387,47.4998,33.1907,20.1118,23.2075,18.9313,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,LMT,20.2545,23.0216,15.2233,27.3615,31.4335,27.3388,15.5104,19.2407,13.319,19.6469,22.9385,18.0324,,9.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme-FedAvg,18.3988,19.994,14.8512,26.7676,30.7041,26.6948,14.9437,18.4043,12.8268,19.2816,22.657,17.6063,,9.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Proposed-A,16.0097,17.7189,12.4036,27.6692,31.6076,27.5929,14.5485,17.9274,12.7313,19.2224,22.8423,17.9301,,18.75
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,LMT,25.5365,31.0132,18.6241,26.7843,30.2248,26.3408,37.8987,41.1025,28.0167,26.6392,31.3776,25.815,,26.6667
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme-FedAvg,24.0597,28.6612,20.1527,26.8227,30.2464,26.4104,37.5161,40.6129,27.8434,26.5833,31.2983,25.4932,,26.6667
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Proposed-A,23.4813,27.952,19.6267,26.4889,29.8125,26.1585,36.6688,39.9025,28.4188,26.7091,31.4148,25.6588,,26.6667
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,LMT,32.3774,35.9327,27.9662,27.3619,30.4381,27.086,32.7877,36.5603,26.1471,22.401,26.5692,21.5856,,32.6663
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme-FedAvg,31.3513,34.3014,28.5729,27.3318,30.3904,27.0826,32.3819,36.01,26.111,22.2785,26.4564,21.2197,,32.5567
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Proposed-A,30.0228,32.8432,27.4985,27.1976,29.9927,27.0148,31.9712,35.594,25.8508,22.199,26.3699,21.2026,,35.908
