Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,49.8956,51.5012,49.4331,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,49.5598,51.106,49.1581,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,48.8482,50.3204,48.5044,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,30.0245,32.5024,29.7306,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,30.3061,32.865,29.9714,60.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,30.1273,31.9569,30.1273,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,42.4641,44.8885,35.4426,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,42.3399,44.6339,36.038,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,43.6604,45.7589,37.608,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,20.0092,23.9326,19.5168,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,19.7842,23.7197,18.7549,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,19.806,23.7089,18.7156,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,18.6535,22.4069,13.775,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,17.3636,20.5426,13.8102,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,14.5216,17.4198,12.3404,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,22.2919,25.6139,22.0651,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,22.2688,25.6122,22.069,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,22.471,25.8199,22.277,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,LMT,5.0,21.1246,25.7449,20.5976,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,5.0,20.5484,24.9525,20.2424,60.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,5.0,18.2476,22.731,16.7706,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,21.4661,25.1647,20.8592,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,21.5586,25.2954,20.9936,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,21.4997,25.0312,21.0549,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,LMT,8.0,27.6307,33.1464,19.3985,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,8.0,26.0141,30.6107,21.6225,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,8.0,25.4804,29.7727,21.4831,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,LMT,8.0,26.7068,29.3127,26.2734,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,8.0,27.1161,29.7517,26.8251,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,8.0,26.8024,29.3092,26.5181,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,36.4986,41.6144,25.8013,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,36.0329,41.109,25.9171,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,35.3147,39.7442,26.3857,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class4,p_test_extre_class4,LMT,10.0,26.311,32.3461,25.6052,20.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,10.0,26.1752,32.2959,25.2869,20.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,10.0,25.845,32.0147,24.9248,20.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,52.2938,54.5069,51.3429,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,52.7118,54.8937,51.8425,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,51.7958,53.8755,50.6328,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,31.0024,33.5414,30.7673,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,30.7092,33.1632,30.525,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,29.6269,31.4499,29.4149,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,43.2297,46.7705,33.7052,25.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,42.9103,46.3472,33.798,25.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,43.387,47.4998,33.1907,25.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,20.3335,23.6558,19.6848,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,20.2883,23.4723,19.1831,38.4615
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,20.1118,23.2075,18.9313,38.4615
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,20.2545,23.0216,15.2233,28.5714
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,18.3988,19.994,14.8512,28.5714
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,16.0097,17.7189,12.4036,28.5714
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,27.3615,31.4335,27.3388,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,26.7676,30.7041,26.6948,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,27.6692,31.6076,27.5929,57.1429
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class3,p_test_extre_class3,LMT,5.0,15.5104,19.2407,13.319,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,5.0,14.9437,18.4043,12.8268,0.0
