Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,LMT,79.2584,82.2953,79.2584,17.9108,19.4217,17.6523,53.939,59.5209,53.4892,24.9531,29.7813,24.4806,,54.8387
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme-FedAvg,79.1736,82.2193,79.1736,17.8769,19.3901,17.5994,53.8839,59.4664,53.4271,24.9001,29.729,24.406,,54.8387
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Proposed-A,79.1822,82.2335,79.1822,17.9092,19.4536,17.6081,53.8648,59.4533,53.3923,24.8708,29.7042,24.3895,,54.8387
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,LMT,80.9141,82.6519,80.9141,27.8749,31.6167,27.5036,85.879,87.5531,85.879,36.2521,41.7094,35.7953,,81.25
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme-FedAvg,80.8336,82.5765,80.8336,27.7785,31.5408,27.3933,85.8077,87.4773,85.8077,36.1864,41.6572,35.7044,,81.25
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Proposed-A,80.8249,82.5704,80.8249,27.7694,31.5087,27.3779,85.7983,87.4689,85.7983,36.1864,41.6427,35.7024,,81.25
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,LMT,75.496,79.5535,75.3816,39.8601,43.665,39.8601,65.581,73.3885,65.4809,36.1033,43.0631,35.6238,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme-FedAvg,75.4306,79.4795,75.2906,39.7823,43.5982,39.7823,65.54,73.3303,65.4358,36.0568,43.0118,35.5441,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Proposed-A,75.4318,79.4818,75.2938,39.7787,43.6035,39.7787,65.5302,73.3204,65.3405,36.0569,43.0028,35.547,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,LMT,80.8984,83.8169,80.8862,19.7306,23.8895,19.0259,55.3963,63.0213,55.1007,24.602,29.7625,23.8779,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme-FedAvg,80.8172,83.7373,80.8036,19.675,23.8328,18.9557,55.3528,62.9636,55.0471,24.5444,29.7137,23.7992,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Proposed-A,80.8278,83.7386,80.7892,19.6823,23.8526,18.9584,55.3371,62.9597,55.0173,24.5481,29.7153,23.7822,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,LMT,82.6539,83.8223,82.6539,33.3954,38.1247,33.3044,85.9849,87.4304,85.9849,34.6889,41.183,34.4454,,84.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme-FedAvg,82.5792,83.7431,82.5792,33.315,38.058,33.2184,85.9009,87.3493,85.9009,34.619,41.1155,34.362,,84.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Proposed-A,82.5662,83.7359,82.5662,33.3047,38.0273,33.201,85.9184,87.3735,85.9184,34.6327,41.1306,34.3593,,84.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,LMT,73.606,78.2659,73.38,39.3866,43.5807,39.2844,68.524,75.6746,68.2213,36.164,42.9715,35.8462,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme-FedAvg,73.5277,78.1902,73.295,39.3064,43.5062,39.1997,68.4727,75.6035,68.1537,36.1036,42.9074,35.7711,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Proposed-A,73.5297,78.2025,73.2984,39.3134,43.5115,39.2074,68.4676,75.6156,68.1299,36.1175,42.9281,35.7778,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,LMT,78.8045,81.7343,78.7457,29.6931,33.3831,29.4384,69.2174,74.4315,69.026,32.1272,38.0785,31.6782,,73.7332
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme-FedAvg,78.727,81.6576,78.6626,29.6224,33.321,29.3581,69.1597,74.3651,68.962,32.0684,38.0224,31.5978,,73.7332
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Proposed-A,78.7271,81.6605,78.6591,29.6263,33.3262,29.3552,69.1527,74.3652,68.9328,32.0687,38.0206,31.593,,73.7332
