Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,79.2584,82.2953,79.2584,88.8889
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,79.1736,82.2193,79.1736,88.8889
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,79.1822,82.2335,79.1822,88.8889
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,17.9108,19.4217,17.6523,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,17.8769,19.3901,17.5994,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,17.9092,19.4536,17.6081,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,53.939,59.5209,53.4892,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,53.8839,59.4664,53.4271,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,53.8648,59.4533,53.3923,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,24.9531,29.7813,24.4806,38.4615
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,24.9001,29.729,24.406,38.4615
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,24.8708,29.7042,24.3895,38.4615
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,80.9141,82.6519,80.9141,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,80.8336,82.5765,80.8336,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,80.8249,82.5704,80.8249,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,27.8749,31.6167,27.5036,71.4286
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,27.7785,31.5408,27.3933,71.4286
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,27.7694,31.5087,27.3779,71.4286
