Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,49.3092,50.8553,49.0121,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,49.4079,50.9446,49.1255,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,48.8518,50.3605,48.5655,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,31.5202,33.9998,31.4167,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,31.049,33.68,30.9738,80.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,30.9627,33.3223,30.9612,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,43.2769,45.8242,36.4468,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,42.7225,45.2098,36.2653,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,43.0521,45.5864,36.3899,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,20.0581,23.9631,19.6552,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,19.9457,23.7856,18.9741,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,20.1105,23.9662,19.1706,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,17.5629,21.8921,13.0543,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,15.9753,19.1535,13.3038,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,16.0072,19.2069,13.4695,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,21.2312,24.6253,21.0503,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,21.1501,24.552,20.9505,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,21.5252,24.9552,21.1767,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,LMT,5.0,19.3896,23.9122,18.6253,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,5.0,19.2896,23.1816,18.7216,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,5.0,18.6905,22.6094,18.0868,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,20.7914,24.3079,20.2435,30.7692
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,20.7418,24.2509,20.1545,30.7692
