Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,49.3106,50.8564,49.0134,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,49.4035,50.9401,49.1213,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,48.8502,50.359,48.5635,77.7778
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,31.5203,34.0003,31.417,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,31.0496,33.6814,30.9746,80.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,30.9638,33.3239,30.9628,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,43.2753,45.8228,36.4457,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,42.7241,45.2117,36.2653,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,43.0515,45.5853,36.3902,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,20.0583,23.9632,19.6556,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,19.9452,23.7851,18.9738,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,20.1117,23.9673,19.1717,23.0769
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,17.562,21.8918,13.0553,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,15.9757,19.1547,13.3056,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,16.0062,19.2061,13.4686,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,21.2309,24.625,21.0501,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,21.1494,24.5514,20.9499,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,21.5259,24.9558,21.1774,14.2857
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,LMT,5.0,19.3901,23.9128,18.6235,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,5.0,19.2862,23.1806,18.7177,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,5.0,18.6938,22.6108,18.0894,40.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,20.7913,24.3077,20.2436,30.7692
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,20.7417,24.2511,20.1542,30.7692
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,20.5462,24.0533,19.8164,30.7692
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,LMT,8.0,28.6078,34.3803,18.7273,0.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,8.0,26.2627,31.3664,20.0676,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,8.0,26.1754,31.3821,19.8256,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,LMT,8.0,26.59,29.1278,26.3165,37.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,8.0,26.8114,29.273,26.6207,37.5
