Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,LMT,79.2588,82.3,79.2588,17.9092,19.4211,17.6502,53.9397,59.5151,53.4901,24.948,29.7698,24.4794,,54.8387
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Extreme-FedAvg,79.1731,82.2229,79.1731,17.902,19.4163,17.6349,53.8669,59.448,53.412,24.885,29.7113,24.3871,,54.8387
six_station_2h_6point_phase_augmented_protocol,2,6,12,58,Proposed-A,79.1757,82.2286,79.1757,17.8897,19.4022,17.619,53.8731,59.45,53.4118,24.8807,29.7021,24.3856,,54.8387
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,LMT,80.9151,82.6539,80.9151,27.8357,31.5773,27.4494,85.8893,87.5597,85.8893,36.2382,41.7026,35.7866,,81.25
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Extreme-FedAvg,80.8241,82.5672,80.8241,27.7714,31.5278,27.371,85.801,87.4677,85.801,36.1792,41.6399,35.7081,,81.25
six_station_2h_6point_phase_augmented_protocol,2,6,12,59,Proposed-A,80.8343,82.5756,80.8343,27.7664,31.5206,27.3649,85.7885,87.4537,85.7885,36.1846,41.6478,35.7081,,81.25
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,LMT,75.501,79.5568,75.3805,39.854,43.6593,39.854,65.5824,73.3882,65.4837,36.1107,43.073,35.6185,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Extreme-FedAvg,75.4154,79.4821,75.2915,39.7737,43.5777,39.7737,65.5317,73.3206,65.4239,36.0682,43.0185,35.5388,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,60,Proposed-A,75.4226,79.4766,75.2904,39.765,43.5799,39.765,65.538,73.3266,65.4339,36.0452,42.9884,35.5386,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,LMT,80.8855,83.809,80.8782,19.7309,23.8944,19.0338,55.3965,63.0155,55.0946,24.5957,29.7627,23.877,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme-FedAvg,80.8009,83.7357,80.797,19.6753,23.8358,18.9576,55.3431,62.9589,55.0267,24.5466,29.7192,23.7897,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Proposed-A,80.8082,83.7324,80.7976,19.6777,23.8389,18.959,55.351,62.9672,55.0388,24.5447,29.7109,23.8016,,58.0645
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,LMT,82.6739,83.839,82.6739,33.3874,38.1071,33.2959,85.9879,87.4353,85.9879,34.6812,41.1711,34.4377,,84.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme-FedAvg,82.5739,83.7444,82.5739,33.3292,38.0694,33.2286,85.9163,87.3673,85.9163,34.6168,41.1163,34.3605,,84.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Proposed-A,82.5804,83.7473,82.5804,33.3408,38.0688,33.2453,85.9046,87.3561,85.9046,34.6165,41.105,34.3559,,84.375
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,LMT,73.6058,78.2705,73.3846,39.3828,43.5748,39.2805,68.5255,75.6721,68.2223,36.167,42.9715,35.8482,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme-FedAvg,73.5382,78.2015,73.3051,39.3192,43.526,39.2125,68.4728,75.6093,68.1619,36.1105,42.9079,35.7736,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Proposed-A,73.5292,78.1923,73.3002,39.307,43.5055,39.1996,68.474,75.6078,68.1618,36.1054,42.9118,35.7797,,83.3333
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,LMT,78.8067,81.7382,78.7485,29.6833,33.3723,29.4273,69.2202,74.431,69.028,32.1235,38.0751,31.6746,,73.7332
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme-FedAvg,78.7209,81.659,78.6608,29.6285,33.3255,29.363,69.1553,74.362,68.957,32.0677,38.0188,31.593,,73.7332
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Proposed-A,78.7251,81.6588,78.6631,29.6244,33.3193,29.3588,69.1549,74.3602,68.9566,32.0629,38.011,31.5949,,73.7332
