Model,Station,Extreme_Class_Index,Extreme_Class,FT_Epoch,Adapt_Windows,Val_Windows,All_Support_Windows,Test_Windows,Adapt_MSE,Val_MSE,SupportAll_MSE,Test_MSE,Test_nMAE_%,Test_nRMSE_%,Test_WD_%,Checkpoint_Path
FedTL-FT,59,0,HighWind,0,1,1,2,2,0.23675212264060974,0.1983150690793991,0.21753358840942383,0.13968729972839355,29.38675880432129,35.297366976737976,24.81577694416046,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch0.pth
FedTL-FT,59,0,HighWind,1,1,1,2,2,0.23632368445396423,0.19800423085689545,0.21716396510601044,0.13959453999996185,29.40085232257843,35.29234230518341,24.798323214054108,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch1.pth
FedTL-FT,59,0,HighWind,2,1,1,2,2,0.23600855469703674,0.19771312177181244,0.21686086058616638,0.13936275243759155,29.400068521499634,35.26411056518555,24.784234166145325,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch2.pth
FedTL-FT,59,0,HighWind,5,1,1,2,2,0.23500606417655945,0.19689789414405823,0.21595196425914764,0.13910309970378876,29.4595867395401,35.242003202438354,24.766984581947327,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch5.pth
FedTL-FT,59,0,HighWind,10,1,1,2,2,0.2334531992673874,0.19548797607421875,0.21447061002254486,0.13844892382621765,29.50407862663269,35.177081823349,24.710744619369507,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch10.pth
FedTL-FT,59,0,HighWind,20,1,1,2,2,0.23047296702861786,0.1930868923664093,0.21177992224693298,0.13727277517318726,29.58647608757019,35.057270526885986,24.793142080307007,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch20.pth
FedTL-FT,59,0,HighWind,30,1,1,2,2,0.22757479548454285,0.19081155955791473,0.209193155169487,0.13635747134685516,29.683944582939148,34.97744798660278,24.890610575675964,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch30.pth
FedTL-FT,59,0,HighWind,50,1,1,2,2,0.22254642844200134,0.186817929148674,0.20468220114707947,0.13495758175849915,29.87593114376068,34.880125522613525,25.082600116729736,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch50.pth
FedTL-FT,59,0,HighWind,75,1,1,2,2,0.21713241934776306,0.18278241157531738,0.19995741546154022,0.13410501182079315,30.072712898254395,34.8833292722702,25.27938187122345,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch75.pth
FedTL-FT,59,0,HighWind,100,1,1,2,2,0.2124255895614624,0.17888903617858887,0.19565729796886444,0.13378125429153442,30.25081157684326,34.97519493103027,25.542885065078735,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station59_extreme0_fedtl_ft_epoch100.pth
FedTL-FT,60,0,HighWind,0,1,1,2,2,0.11947234719991684,0.14000755548477173,0.12973995506763458,0.24281719326972961,42.72213876247406,49.276381731033325,37.595224380493164,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch0.pth
FedTL-FT,60,0,HighWind,1,1,1,2,2,0.1195332333445549,0.13992094993591309,0.1297270953655243,0.2426316738128662,42.726969718933105,49.25759434700012,37.55013048648834,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch1.pth
FedTL-FT,60,0,HighWind,2,1,1,2,2,0.11948677152395248,0.139821857213974,0.12965431809425354,0.24238747358322144,42.71172881126404,49.232786893844604,37.52849102020264,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch2.pth
FedTL-FT,60,0,HighWind,5,1,1,2,2,0.11949114501476288,0.1394159495830536,0.12945353984832764,0.2416490614414215,42.675697803497314,49.1577684879303,37.44562864303589,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch5.pth
FedTL-FT,60,0,HighWind,10,1,1,2,2,0.11974436044692993,0.13867506384849548,0.1292097270488739,0.24015502631664276,42.62310862541199,49.00559484958649,37.27565407752991,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch10.pth
FedTL-FT,60,0,HighWind,20,1,1,2,2,0.12010419368743896,0.13767045736312866,0.1288873255252838,0.23784717917442322,42.512595653533936,48.769575357437134,36.988335847854614,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch20.pth
