Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,Training_duration_s,R_p<0.05_%
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,Pretrain,28.0746,34.3881,26.1396,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,Local-Meta-NoFT,28.4065,34.1754,26.293,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,LMT,26.18,31.4401,24.2716,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,Pretrain,36.0109,42.7183,33.8612,,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,Local-Meta-NoFT,35.7324,41.7627,34.1245,,100.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,LMT,30.0132,37.5266,26.6339,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Pretrain,35.0164,40.7833,27.2369,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Local-Meta-NoFT,37.22,43.2853,31.8693,,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,LMT,34.1449,40.1355,24.9745,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Pretrain,43.9417,48.5382,33.5434,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Local-Meta-NoFT,43.2648,47.4098,32.9449,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,LMT,39.8882,44.7469,29.4449,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Pretrain,35.7609,41.607,30.1953,,12.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Local-Meta-NoFT,36.1559,41.6583,31.3079,,37.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,LMT,32.5566,38.4623,26.3312,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Pretrain,35.7609,41.607,30.1953,,12.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Local-Meta-NoFT,36.1559,41.6583,31.3079,,37.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,LMT,32.5566,38.4623,26.3312,,0.0
