Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Pretrain,2.0,28.0746,34.3881,26.1396,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Local-Meta-NoFT,2.0,28.4065,34.1754,26.293,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Pretrain,2.0,27.7354,30.4231,26.2013,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Meta-NoFT,2.0,16.8109,18.6762,14.9672,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Pretrain,2.0,36.0109,42.7183,33.8612,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Local-Meta-NoFT,2.0,35.7324,41.7627,34.1245,100.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Pretrain,2.0,34.5241,35.509,34.5241,100.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Meta-NoFT,2.0,21.3565,22.7144,21.1423,100.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Pretrain,2.0,35.0164,40.7833,27.2369,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Local-Meta-NoFT,2.0,37.22,43.2853,31.8693,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Pretrain,2.0,30.3364,32.7232,29.7851,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Meta-NoFT,2.0,20.1189,23.0851,19.9631,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Pretrain,2.0,43.9417,48.5382,33.5434,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Local-Meta-NoFT,2.0,43.2648,47.4098,32.9449,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Pretrain,2.0,32.4194,33.3998,32.4194,100.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Meta-NoFT,2.0,23.1592,23.7547,22.8613,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Local-Meta-NoFT,2.0,36.1559,41.6583,31.3079,37.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Pretrain,2.0,35.7609,41.607,30.1953,12.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Target-Aware Meta-NoFT,2.0,20.3614,22.0576,19.7335,62.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Target-Aware Pretrain,2.0,31.2538,33.0138,30.7325,75.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Local-Meta-NoFT,8.0,36.1559,41.6583,31.3079,37.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Pretrain,8.0,35.7609,41.607,30.1953,12.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Target-Aware Meta-NoFT,8.0,20.3614,22.0576,19.7335,62.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Target-Aware Pretrain,8.0,31.2538,33.0138,30.7325,75.0
