Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,39.6497,43.0638,37.3752,15.5486,18.659,13.2025,38.4026,40.811,32.708,15.7406,18.1791,15.1451,1198.39,75.0
58,Local_Meta_Transfer,40.4331,44.6255,38.0663,17.8199,19.7862,16.477,41.2583,44.1894,34.01,17.2047,19.3888,16.6966,941.12,76.25
58,Transfer_Learning,43.9427,53.0008,38.7669,15.1362,19.849,10.9506,45.4006,52.2458,35.5656,17.4351,22.6192,15.1895,277.51,71.25
58,Meta_Learning,45.6188,47.1647,45.1414,21.4342,22.7965,19.8472,44.9524,48.4711,43.6034,20.7703,22.7355,20.1016,674.95,81.25
58,Local_PreTraining,44.681,52.6166,40.5086,18.7396,24.4738,14.3387,47.6512,52.6816,38.9097,24.5358,32.1814,21.4785,262.67,72.5
59,Proposed,30.8479,35.5238,26.4995,16.4036,18.9272,14.4536,25.0695,28.5442,22.8704,22.2442,24.8679,20.7976,1198.39,69.697
59,Local_Meta_Transfer,36.1355,40.6131,32.2741,17.6963,20.1858,16.2222,34.1796,37.3049,33.2002,22.3074,24.9934,21.0088,941.12,72.7273
59,Transfer_Learning,43.5437,51.4578,35.6378,18.002,22.2684,14.8546,36.8524,44.6003,35.539,21.6636,26.8433,19.1806,277.51,60.6061
59,Meta_Learning,44.0014,46.2061,43.406,23.3087,25.9715,21.6961,47.1641,50.6602,46.5755,26.2039,29.0525,23.7214,674.95,72.7273
59,Local_PreTraining,45.2003,52.7802,39.7625,24.4656,30.9894,20.3023,42.9585,49.6295,42.2252,25.5272,32.6002,22.0826,262.67,75.7576
60,Proposed,32.5556,37.9723,23.5911,20.6573,23.2972,18.6576,33.4641,38.1648,28.4895,22.669,25.3403,21.8845,1198.39,69.5652
60,Local_Meta_Transfer,33.8206,39.3848,26.3534,20.8832,23.4771,19.2682,41.2249,45.5305,38.1657,20.9671,23.5442,20.2419,941.12,72.4638
60,Transfer_Learning,46.6537,54.0689,34.7326,22.6559,27.4743,18.6901,47.9621,56.8527,41.99,22.6091,28.2184,19.7602,277.51,52.1739
60,Meta_Learning,44.5648,47.137,43.1319,24.036,26.3616,21.6529,50.0339,51.1932,48.9568,26.1817,28.6555,24.9849,674.95,75.3623
60,Local_PreTraining,45.4542,54.0868,35.7591,26.0868,33.6211,22.1806,48.5277,57.3135,44.3956,29.6201,38.0545,26.7643,262.67,65.2174
Overall_Average,Proposed,34.3511,38.8533,29.1553,17.5365,20.2945,15.4379,32.3121,35.84,28.0226,20.2179,22.7958,19.2757,1198.39,70.5548
Overall_Average,Local_Meta_Transfer,36.7964,41.5411,32.2313,18.7998,21.1497,17.3225,38.8876,42.3416,35.1253,20.1597,22.6421,19.3158,941.12,73.4806
Overall_Average,Transfer_Learning,44.7134,52.8425,36.3791,18.598,23.1972,14.8318,43.405,51.2329,37.6982,20.5693,25.8936,18.0434,277.51,60.1165
Overall_Average,Meta_Learning,44.7283,46.8359,43.8931,22.9263,25.0432,21.0654,47.3835,50.1082,46.3786,24.3853,26.8145,22.936,674.95,75.4164
Overall_Average,Local_PreTraining,45.1118,53.1612,38.6767,23.0973,29.6948,18.9405,46.3791,53.2082,41.8435,26.561,34.2787,23.4418,262.67,70.7413
