client_id,client_name,source_station_id,extreme_class,Model,support_windows,test_windows,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%,Training_duration_s
58,WT1,058,high_wind,Proposed,8,7,7,62.8544,65.6916,60.5665,100.0,2383.0343
58,WT1,058,high_wind,Local_Meta_Transfer,8,7,7,60.4751,63.226,58.68,100.0,1876.4559
58,WT1,058,high_wind,Transfer_Learning,8,7,7,57.9918,60.971,56.0806,100.0,519.0839
58,WT1,058,high_wind,Meta_Learning,8,7,7,58.4301,60.513,57.1089,100.0,1351.5815
58,WT1,058,high_wind,Local_PreTraining,8,7,7,47.8977,53.0304,45.1633,100.0,509.071
59,WT2,059,high_wind,Proposed,6,6,6,36.3994,42.9763,34.0295,100.0,2383.0343
59,WT2,059,high_wind,Local_Meta_Transfer,6,6,6,27.7601,36.0678,22.4874,50.0,1876.4559
59,WT2,059,high_wind,Transfer_Learning,6,6,6,29.8381,39.8217,24.0886,50.0,519.0839
59,WT2,059,high_wind,Meta_Learning,6,6,6,35.8216,38.8214,34.0961,83.3333,1351.5815
59,WT2,059,high_wind,Local_PreTraining,6,6,6,32.6749,41.329,28.2979,66.6667,509.071
60,WT3,060,high_temp,Proposed,3,8,8,23.2922,25.7004,22.3521,50.0,2383.0343
60,WT3,060,high_temp,Local_Meta_Transfer,3,8,8,25.028,27.4901,24.1449,62.5,1876.4559
60,WT3,060,high_temp,Transfer_Learning,3,8,8,24.8313,27.5698,22.6944,37.5,519.0839
60,WT3,060,high_temp,Meta_Learning,3,8,8,25.4507,27.8131,24.0816,50.0,1351.5815
60,WT3,060,high_temp,Local_PreTraining,3,8,8,24.3033,27.8883,22.1633,37.5,509.071
61,WT4,058,high_temp,Proposed,1,5,5,20.8316,22.9825,19.7964,80.0,2383.0343
61,WT4,058,high_temp,Local_Meta_Transfer,1,5,5,20.235,21.5405,19.1449,80.0,1876.4559
61,WT4,058,high_temp,Transfer_Learning,1,5,5,19.0813,21.8395,16.9599,40.0,519.0839
61,WT4,058,high_temp,Meta_Learning,1,5,5,21.4165,22.5614,20.7801,100.0,1351.5815
61,WT4,058,high_temp,Local_PreTraining,1,5,5,22.1149,26.3353,20.126,80.0,509.071
62,WT5,059,cold_wave,Proposed,4,2,2,32.7582,38.2542,30.0138,100.0,2383.0343
62,WT5,059,cold_wave,Local_Meta_Transfer,4,2,2,24.747,32.0412,20.9833,50.0,1876.4559
62,WT5,059,cold_wave,Transfer_Learning,4,2,2,25.093,37.2409,20.7627,50.0,519.0839
62,WT5,059,cold_wave,Meta_Learning,4,2,2,42.6389,44.4662,40.053,100.0,1351.5815
62,WT5,059,cold_wave,Local_PreTraining,4,2,2,38.6931,43.491,35.7681,100.0,509.071
62,WT5,059,frost,Proposed,2,16,16,23.5416,27.0346,19.552,50.0,2383.0343
62,WT5,059,frost,Local_Meta_Transfer,2,16,16,20.5857,24.7972,17.8624,25.0,1876.4559
62,WT5,059,frost,Transfer_Learning,2,16,16,21.2096,26.0165,16.7385,25.0,519.0839
62,WT5,059,frost,Meta_Learning,2,16,16,26.265,29.6323,23.0835,37.5,1351.5815
62,WT5,059,frost,Local_PreTraining,2,16,16,26.6844,32.6075,20.7061,56.25,509.071
63,WT6,060,cold_wave,Proposed,3,2,2,47.6225,56.3296,34.2129,50.0,2383.0343
63,WT6,060,cold_wave,Local_Meta_Transfer,3,2,2,49.9614,55.9829,40.1887,50.0,1876.4559
63,WT6,060,cold_wave,Transfer_Learning,3,2,2,49.7858,58.6588,40.0292,50.0,519.0839
63,WT6,060,cold_wave,Meta_Learning,3,2,2,41.5706,42.7123,40.8067,100.0,1351.5815
63,WT6,060,cold_wave,Local_PreTraining,3,2,2,40.9285,49.896,35.1119,50.0,509.071
63,WT6,060,frost,Proposed,2,9,9,24.6473,27.5133,19.5632,44.4444,2383.0343
63,WT6,060,frost,Local_Meta_Transfer,2,9,9,20.3221,23.5503,16.1779,33.3333,1876.4559
63,WT6,060,frost,Transfer_Learning,2,9,9,25.4553,29.7929,17.1745,22.2222,519.0839
63,WT6,060,frost,Meta_Learning,2,9,9,23.9563,26.6063,20.828,55.5556,1351.5815
63,WT6,060,frost,Local_PreTraining,2,9,9,36.2405,41.1948,27.9272,22.2222,509.071
