Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
three_station_2h_6point_protocol,2,6,12,58,LMT,49.3764,50.8809,49.0761,31.0597,33.0508,30.8961,43.1632,45.3638,36.2878,19.8944,23.8127,19.2803,697.76,54.8387
three_station_2h_6point_protocol,2,6,12,58,Extreme-FedAvg,49.5772,50.9136,49.472,31.2771,33.2425,31.1027,42.947,45.1831,36.1143,19.7345,23.6256,18.5188,899.54,54.8387
three_station_2h_6point_protocol,2,6,12,58,Proposed-A,48.821,50.1753,48.6835,31.2968,33.1846,31.1547,42.9732,45.1407,36.2753,19.6964,23.5897,18.4491,900.07,54.8387
three_station_2h_6point_protocol,2,6,12,59,LMT,17.8419,21.6962,13.9429,22.0323,25.4277,21.9115,19.3103,23.1856,19.0666,21.2628,24.8685,20.8249,697.76,18.75
three_station_2h_6point_protocol,2,6,12,59,Extreme-FedAvg,15.9534,19.2382,13.4289,22.2837,25.6963,22.1592,20.4148,23.6313,20.3766,20.9465,24.5759,20.4355,899.54,21.875
three_station_2h_6point_protocol,2,6,12,59,Proposed-A,15.8162,19.0721,13.2806,22.1377,25.4982,22.0168,18.6692,22.1906,18.6481,20.7877,24.4594,20.2577,900.07,31.25
three_station_2h_6point_protocol,2,6,12,60,LMT,26.1757,31.811,18.2659,26.6982,29.3007,26.3534,40.8217,45.1068,28.6414,26.1389,31.9246,25.5061,697.76,16.6667
three_station_2h_6point_protocol,2,6,12,60,Extreme-FedAvg,24.7119,29.4952,20.3205,27.1066,29.7354,26.9161,40.3278,44.8012,27.8938,25.8367,31.548,24.924,899.54,26.6667
three_station_2h_6point_protocol,2,6,12,60,Proposed-A,24.5298,29.5078,20.0459,26.9442,29.4995,26.7187,40.2395,44.6139,28.0552,25.8946,31.6104,24.9718,900.07,26.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,LMT,31.1313,34.796,27.095,26.5967,29.2597,26.387,34.4317,37.8854,27.9986,22.432,26.8686,21.8704,697.76,30.3008
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme-FedAvg,30.0808,33.2157,27.7405,26.8891,29.5581,26.726,34.5632,37.8719,28.1282,22.1726,26.5832,21.2928,899.54,34.4585
three_station_2h_6point_protocol,2,6,12,Overall_Average,Proposed-A,29.7223,32.9184,27.3367,26.7929,29.3941,26.6301,33.9606,37.3151,27.6595,22.1262,26.5532,21.2262,900.07,37.5307
