Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,43.3687,51.176,38.7515,17.2922,22.4907,12.6455,45.3153,51.2035,35.6494,19.7298,24.6954,17.2262,258.47,71.25
58,Meta_Learning,45.0414,51.2282,41.6092,20.1932,26.2044,15.1111,47.3551,52.3822,39.4623,24.8596,31.2572,21.9989,,76.25
58,Pre_Training,45.0414,51.2282,41.6092,20.1932,26.2044,15.1111,47.3551,52.3822,39.4623,24.8596,31.2572,21.9989,254.77,76.25
59,Proposed,41.3248,49.0039,35.2327,21.8117,26.6291,18.0983,35.998,43.3606,34.3597,23.5803,28.535,20.268,258.47,71.2121
59,Meta_Learning,45.1427,51.5531,41.2928,26.9271,33.1277,22.7943,43.6451,48.5325,42.5784,26.7821,32.836,23.0568,,75.7576
59,Pre_Training,45.1427,51.5531,41.2928,26.9271,33.1277,22.7943,43.6451,48.5325,42.5784,26.7821,32.836,23.0568,254.77,75.7576
60,Proposed,40.9337,49.101,30.248,22.638,27.2679,19.4438,44.193,52.6886,39.8224,26.2675,31.8871,23.5186,258.47,57.971
60,Meta_Learning,43.738,50.9257,36.1089,25.3209,31.6148,22.3331,47.4427,54.2416,44.4344,31.4145,38.7121,28.7109,,75.3623
60,Pre_Training,43.738,50.9257,36.1089,25.3209,31.6148,22.3331,47.4427,54.2416,44.4344,31.4145,38.7121,28.7109,254.77,75.3623
Overall_Average,Proposed,41.8757,49.7603,34.7441,20.5806,25.4626,16.7292,41.8354,49.0842,36.6105,23.1925,28.3725,20.3376,258.47,65.3829
Overall_Average,Meta_Learning,44.6407,51.2357,39.6703,24.1471,30.3156,20.0795,46.1476,51.7188,42.1584,27.6854,34.2684,24.5889,,74.8251
Overall_Average,Pre_Training,44.6407,51.2357,39.6703,24.1471,30.3156,20.0795,46.1476,51.7188,42.1584,27.6854,34.2684,24.5889,254.77,74.8251
