Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,46.445,48.1036,46.2079,19.172,21.2595,18.7174,46.4255,50.2465,45.9191,16.4504,18.8122,16.2538,,76.25
58,Meta_Learning,47.8915,49.8575,47.72,19.5162,21.4564,19.041,48.4495,52.8112,48.1111,18.4443,20.5637,18.1776,,80.0
58,Pre_Training,47.8915,49.8575,47.72,19.5162,21.4564,19.041,48.4495,52.8112,48.1111,18.4443,20.5637,18.1776,,80.0
59,Proposed,47.198,49.3355,47.0612,19.972,22.9848,19.209,51.2402,54.5195,50.9632,25.1007,27.7586,24.2475,,72.7273
59,Meta_Learning,51.8448,53.8923,51.7799,21.381,24.2378,20.6,56.0315,59.2117,55.9064,24.9972,27.6744,24.1558,,72.7273
59,Pre_Training,51.8448,53.8923,51.7799,21.381,24.2378,20.6,56.0315,59.2117,55.9064,24.9972,27.6744,24.1558,,72.7273
60,Proposed,46.0796,48.269,45.5804,22.897,25.0884,22.2987,50.4975,51.5031,50.3271,22.8459,25.2316,22.3416,,72.4638
60,Meta_Learning,50.186,52.5525,49.7872,22.7119,24.9492,22.0933,53.4487,54.5664,53.299,24.8104,27.0351,24.2924,,73.913
60,Pre_Training,50.186,52.5525,49.7872,22.7119,24.9492,22.0933,53.4487,54.5664,53.299,24.8104,27.0351,24.2924,,73.913
Overall_Average,Proposed,46.5742,48.5694,46.2832,20.6803,23.1109,20.075,49.3877,52.0897,49.0698,21.4657,23.9341,20.9476,,73.419
Overall_Average,Meta_Learning,49.9741,52.1008,49.7624,21.203,23.5478,20.5781,52.6432,55.5298,52.4388,22.7506,25.0911,22.2086,,75.4279
Overall_Average,Pre_Training,49.9741,52.1008,49.7624,21.203,23.5478,20.5781,52.6432,55.5298,52.4388,22.7506,25.0911,22.2086,,75.4279
