Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,47.0287,48.8051,46.8329,18.9456,21.0108,18.6224,46.9676,50.9886,46.5649,16.537,18.8713,16.2638,,77.5
58,Meta_Learning,48.1052,50.1389,47.9491,19.0857,21.1022,18.7818,48.6028,53.02,48.3245,18.0432,20.2083,17.7372,,80.0
58,Pre_Training,48.1052,50.1389,47.9491,19.0857,21.1022,18.7818,48.6028,53.02,48.3245,18.0432,20.2083,17.7372,,80.0
59,Proposed,48.6209,50.8241,48.4093,20.2183,23.1104,19.3023,52.6538,55.8881,52.4414,25.0137,27.7473,23.9369,,71.2121
59,Meta_Learning,52.1483,54.263,52.0456,21.374,24.1087,20.3725,56.2378,59.4056,56.1312,24.9331,27.6837,23.8589,,72.7273
59,Pre_Training,52.1483,54.263,52.0456,21.374,24.1087,20.3725,56.2378,59.4056,56.1312,24.9331,27.6837,23.8589,,72.7273
60,Proposed,47.3271,49.5844,46.599,22.7685,24.9429,21.9755,51.2124,52.2359,51.0798,23.1329,25.5656,22.6016,,73.913
60,Meta_Learning,50.3183,52.7472,49.7872,22.5833,24.8122,21.7937,53.4101,54.5315,53.3071,24.6766,26.9849,24.1137,,73.913
60,Pre_Training,50.3183,52.7472,49.7872,22.5833,24.8122,21.7937,53.4101,54.5315,53.3071,24.6766,26.9849,24.1137,,73.913
Overall_Average,Proposed,47.6589,49.7379,47.2804,20.6441,23.0214,19.9667,50.2779,53.0375,50.0287,21.5612,24.0614,20.9341,,74.2083
Overall_Average,Meta_Learning,50.1906,52.383,49.9273,21.0143,23.341,20.316,52.7502,55.6524,52.5876,22.551,24.959,21.9033,,75.4279
Overall_Average,Pre_Training,50.1906,52.383,49.9273,21.0143,23.341,20.316,52.7502,55.6524,52.5876,22.551,24.959,21.9033,,75.4279
