Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
three_station_2h_6point_protocol,2,6,12,58,LMT,26.4915,30.0012,22.5106,31.9879,33.9158,31.7409,42.9692,45.1641,36.1077,21.9775,25.3682,19.025,,35.4839
three_station_2h_6point_protocol,2,6,12,58,Extreme-FedAvg,24.9424,28.0217,21.8985,31.3361,33.2996,31.1366,42.8525,45.0517,36.2371,21.8661,25.5326,18.6832,,51.6129
three_station_2h_6point_protocol,2,6,12,58,Proposed-A,24.8032,27.8848,21.7021,32.0153,33.875,31.7772,43.2705,45.4623,36.3656,21.5368,25.2744,18.3909,,48.3871
three_station_2h_6point_protocol,2,6,12,59,LMT,19.0789,22.044,14.3338,21.2317,24.5961,21.1012,20.5246,24.1348,20.3966,29.2299,33.1503,26.4102,,31.25
three_station_2h_6point_protocol,2,6,12,59,Extreme-FedAvg,17.2022,20.0883,13.9196,21.1757,24.5057,21.0484,19.5674,23.0414,19.4765,28.994,33.0989,26.08,,31.25
three_station_2h_6point_protocol,2,6,12,59,Proposed-A,17.396,20.3089,14.1155,21.2354,24.5994,21.083,20.8347,23.9096,20.8325,29.2791,33.5348,26.3829,,31.25
three_station_2h_6point_protocol,2,6,12,60,LMT,26.915,31.9831,19.7175,26.6505,29.2186,26.3073,40.4976,44.834,28.2536,21.7912,25.4817,19.9804,,13.3333
three_station_2h_6point_protocol,2,6,12,60,Extreme-FedAvg,25.5317,29.9092,20.916,26.7206,29.1875,26.4532,40.1231,44.3937,27.9162,21.7171,25.4041,19.7858,,23.3333
three_station_2h_6point_protocol,2,6,12,60,Proposed-A,25.2208,29.8723,20.239,26.8213,29.3199,26.5912,39.9345,44.1959,27.9818,21.8501,25.4727,19.9309,,20.0
three_station_2h_6point_protocol,2,6,12,Overall_Average,LMT,24.1618,28.0094,18.854,26.6234,29.2435,26.3831,34.6638,38.0443,28.2526,24.3329,28.0001,21.8052,,26.7809
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme-FedAvg,22.5588,26.0064,18.9114,26.4108,28.9976,26.2127,34.181,37.4956,27.8766,24.1924,28.0119,21.5163,,35.2635
three_station_2h_6point_protocol,2,6,12,Overall_Average,Proposed-A,22.4733,26.022,18.6855,26.6907,29.2648,26.4838,34.6799,37.8559,28.3933,24.222,28.094,21.5682,,32.7546
