Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,26.4915,30.0012,22.5106,0.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,24.9424,28.0217,21.8985,44.4444
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,24.8032,27.8848,21.7021,44.4444
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,31.9879,33.9158,31.7409,80.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,31.3361,33.2996,31.1366,100.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,32.0153,33.875,31.7772,80.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,42.9692,45.1641,36.1077,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,42.8525,45.0517,36.2371,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,43.2705,45.4623,36.3656,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,21.9775,25.3682,19.025,38.4615
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,21.8661,25.5326,18.6832,38.4615
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,21.5368,25.2744,18.3909,38.4615
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,19.0789,22.044,14.3338,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,17.2022,20.0883,13.9196,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,17.396,20.3089,14.1155,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,21.2317,24.5961,21.1012,14.2857
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,21.1757,24.5057,21.0484,14.2857
