Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,49.3764,50.8809,49.0761,77.7778
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,49.5772,50.9136,49.472,77.7778
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,48.821,50.1753,48.6835,77.7778
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,31.0597,33.0508,30.8961,100.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,31.2771,33.2425,31.1027,100.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,31.2968,33.1846,31.1547,100.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,43.1632,45.3638,36.2878,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,42.947,45.1831,36.1143,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,42.9732,45.1407,36.2753,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,19.8944,23.8127,19.2803,23.0769
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,19.7345,23.6256,18.5188,23.0769
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,19.6964,23.5897,18.4491,23.0769
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,17.8419,21.6962,13.9429,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,15.9534,19.2382,13.4289,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,15.8162,19.0721,13.2806,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,22.0323,25.4277,21.9115,14.2857
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,22.2837,25.6963,22.1592,14.2857
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,22.1377,25.4982,22.0168,57.1429
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,LMT,5.0,19.3103,23.1856,19.0666,40.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,5.0,20.4148,23.6313,20.3766,60.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,5.0,18.6692,22.1906,18.6481,60.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,21.2628,24.8685,20.8249,23.0769
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,20.9465,24.5759,20.4355,23.0769
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,20.7877,24.4594,20.2577,23.0769
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,LMT,8.0,26.1757,31.811,18.2659,0.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,8.0,24.7119,29.4952,20.3205,37.5
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,8.0,24.5298,29.5078,20.0459,37.5
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,LMT,8.0,26.6982,29.3007,26.3534,37.5
