Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,LMT,9.0,27.6759,31.3414,24.2186,33.3333
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,26.4904,29.5298,23.8911,44.4444
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,27.2046,30.147,24.6794,33.3333
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,31.9879,33.9158,31.7409,80.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,31.3361,33.2996,31.1366,100.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,32.0153,33.875,31.7772,80.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,42.9692,45.1641,36.1077,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,42.8525,45.0517,36.2371,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,43.2705,45.4623,36.3656,50.0
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,40.0196,44.0408,37.201,61.5385
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,39.6367,44.1066,36.4655,53.8462
three_station_2h_6point_protocol,2,6,12,58,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,40.0736,44.7168,36.7847,53.8462
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,20.7112,23.7848,16.0714,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,18.0569,20.9062,14.5465,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,18.5329,21.5903,15.1668,0.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,22.0237,25.4153,21.8898,14.2857
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,22.2211,25.6021,22.0679,14.2857
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,21.9488,25.3372,21.8436,14.2857
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,LMT,5.0,20.5246,24.1348,20.3966,60.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,5.0,19.5674,23.0414,19.4765,60.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,5.0,20.8347,23.9096,20.8325,60.0
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,30.1438,34.1183,27.393,46.1538
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,28.8374,32.9346,25.9108,46.1538
three_station_2h_6point_protocol,2,6,12,59,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,29.8124,34.1377,26.9488,46.1538
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,LMT,8.0,26.4305,32.0717,17.4588,0.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,8.0,23.709,29.7947,17.223,0.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,8.0,23.838,29.8902,17.3142,12.5
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,LMT,8.0,23.3761,25.5959,23.1143,50.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,8.0,23.6621,25.8308,23.4248,50.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,8.0,23.5621,25.7338,23.31,50.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,40.4976,44.834,28.2536,0.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,40.1231,44.3937,27.9162,0.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,39.9345,44.1959,27.9818,0.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class4,p_test_extre_class4,LMT,10.0,33.6477,38.8294,32.8787,70.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,10.0,32.9938,38.1187,32.0412,70.0
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,10.0,32.6058,37.6632,31.6476,50.0
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Extreme-FedAvg,8.0,22.7521,26.7436,18.5535,14.8148
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,LMT,8.0,24.9392,29.066,19.2496,11.1111
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Proposed-A,8.0,23.1918,27.2092,19.0535,15.2778
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Extreme-FedAvg,6.6667,25.7398,28.2442,25.5431,54.7619
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,LMT,6.6667,25.7959,28.309,25.5817,48.0952
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Proposed-A,6.6667,25.8421,28.3153,25.6436,48.0952
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Extreme-FedAvg,4.3333,34.181,37.4956,27.8766,36.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,LMT,4.3333,34.6638,38.0443,28.2526,36.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Proposed-A,4.3333,34.6799,37.8559,28.3933,36.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Extreme-FedAvg,12.0,33.8226,38.3866,31.4725,56.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,LMT,12.0,34.6037,38.9962,32.4909,59.2308
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Proposed-A,12.0,34.1639,38.8392,31.7937,50.0
