Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,39.4428,43.3129,36.8774,15.2458,18.3432,12.0536,37.1845,40.4001,31.5948,16.653,19.175,15.8713,645.13,77.5
58,Local_Meta_Transfer,41.8265,48.9705,38.2299,16.2722,19.452,13.5106,43.3519,47.9165,34.3917,15.8353,18.9411,14.5887,391.46,76.25
58,Transfer_Learning,43.9308,53.3256,38.826,15.649,20.5909,11.11,45.3602,51.8614,35.0003,17.3272,22.576,15.0153,280.75,70.0
58,Meta_Learning,46.4229,48.3388,45.5371,20.6587,22.6858,17.2978,45.7342,49.9523,44.2317,19.436,21.9436,18.128,128.11,77.5
58,Local_PreTraining,44.598,52.7157,40.6368,19.867,25.9346,14.8905,47.8994,52.3338,38.7591,24.4189,32.4543,21.353,265.26,72.5
59,Proposed,29.8435,35.0712,24.4141,15.7899,18.5614,13.6135,22.8664,27.6074,19.8414,22.8514,25.4654,21.0163,645.13,69.697
59,Local_Meta_Transfer,37.8704,44.8164,30.8218,17.175,19.9736,15.0164,32.4887,39.2271,31.0327,21.7512,25.1169,19.989,391.46,68.1818
59,Transfer_Learning,43.9516,51.8727,35.8352,17.5709,21.9894,14.7847,37.7349,45.3724,36.2465,21.4421,26.5656,19.1174,280.75,54.5455
59,Meta_Learning,46.1607,48.9742,45.3252,22.9033,25.883,19.5977,50.2769,53.7508,49.0931,26.069,29.229,22.3836,128.11,66.6667
59,Local_PreTraining,45.3072,53.0724,39.6237,24.2434,30.6036,20.2617,42.3917,49.8583,41.712,25.4813,32.5657,22.0504,265.26,69.697
60,Proposed,34.4569,39.7573,26.6498,20.3094,23.352,17.5573,35.124,39.702,30.8477,22.3406,25.1502,21.3502,645.13,69.5652
60,Local_Meta_Transfer,39.9873,47.2371,30.2187,20.5586,24.3661,17.9497,44.3352,51.529,39.7382,20.2627,23.9101,18.6597,391.46,65.2174
60,Transfer_Learning,46.0153,53.3792,34.3033,22.1868,27.2642,18.8604,47.2953,55.9792,41.822,22.9482,28.6756,20.0533,280.75,53.6232
60,Meta_Learning,46.8882,49.4792,45.258,24.2111,26.7411,19.9488,51.4298,52.8029,50.5525,24.8759,27.908,22.7486,128.11,72.4638
60,Local_PreTraining,45.4749,53.7342,36.1075,26.2084,33.366,22.3309,47.9008,56.5359,44.0741,29.9972,38.5668,27.0763,265.26,66.6667
Overall_Average,Proposed,34.5811,39.3805,29.3138,17.115,20.0855,14.4081,31.725,35.9032,27.428,20.615,23.2635,19.4126,645.13,72.1777
Overall_Average,Local_Meta_Transfer,39.8947,47.008,33.0901,18.0019,21.2639,15.4922,40.0586,46.2242,35.0542,19.2831,22.656,17.7458,391.46,68.6962
Overall_Average,Transfer_Learning,44.6326,52.8592,36.3215,18.4689,23.2815,14.9184,43.4635,51.071,37.6896,20.5725,25.9391,18.062,280.75,58.602
Overall_Average,Meta_Learning,46.4906,48.9307,45.3734,22.591,25.1033,18.9481,49.147,52.1687,47.9591,23.4603,26.3602,21.0867,128.11,71.4835
Overall_Average,Local_PreTraining,45.1267,53.1741,38.7893,23.4396,29.9681,19.161,46.064,52.9093,41.5151,26.6325,34.5289,23.4932,265.26,69.0992
