Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,37.9801,39.3021,37.1932,15.5261,18.3781,13.746,37.6531,39.7921,37.0658,11.5585,14.3942,10.8333,1230.19,55.0
58,Local_Meta_Transfer,37.8099,39.4398,37.463,12.087,14.5173,10.5108,34.5283,36.7853,31.0118,9.6316,11.9517,8.3236,940.66,57.5
58,Transfer_Learning,37.6549,39.2994,37.2978,12.0497,14.5013,10.468,35.0128,37.2104,31.5071,9.4962,11.8569,8.1703,286.33,55.0
58,Meta_Learning,46.1834,47.9501,45.5787,21.181,23.0267,18.7163,45.5272,49.3834,44.145,19.8934,22.0573,18.9755,698.61,78.75
58,Local_PreTraining,34.8322,38.6025,33.0131,13.1583,15.8521,11.6302,30.875,34.0484,27.5843,9.4678,11.9058,8.1542,270.97,45.0
59,Proposed,22.5509,23.6557,21.6086,15.6944,19.5572,14.0605,17.0163,19.2735,16.6262,17.8709,20.7258,16.8817,1230.19,34.8485
59,Local_Meta_Transfer,22.9269,25.4306,19.8143,10.1097,12.7028,8.8411,14.7192,16.5879,13.4193,14.8486,17.1651,13.6997,940.66,50.0
59,Transfer_Learning,23.1749,25.5368,20.1163,10.2002,12.9245,8.9316,14.4426,16.2591,13.0908,14.7412,17.0137,13.582,286.33,48.4849
59,Meta_Learning,45.4041,47.8529,44.7727,22.798,25.4954,21.0323,49.0529,52.4237,48.1189,25.8439,28.8327,23.0886,698.61,69.697
59,Local_PreTraining,38.3389,42.5049,36.7513,10.1453,12.7779,8.9122,14.7387,17.3273,13.2015,14.9127,17.1855,13.6102,270.97,51.5151
60,Proposed,22.4342,25.1405,19.8375,16.4382,19.9385,15.2114,33.2472,35.3297,31.7549,16.199,19.0983,15.0035,1230.19,53.6232
60,Local_Meta_Transfer,23.3012,26.5674,19.0604,10.3704,13.0663,8.5552,34.2046,36.2222,30.1411,13.3798,16.3724,12.5614,940.66,42.029
60,Transfer_Learning,23.4556,26.6177,19.3286,10.4236,13.1258,8.5117,34.3557,36.3392,30.4198,13.2377,16.2505,12.3814,286.33,42.029
60,Meta_Learning,46.0925,48.5809,45.0969,23.2659,25.3777,21.315,50.7025,51.8209,50.1309,25.1909,27.6656,24.021,698.61,75.3623
60,Local_PreTraining,32.5098,38.0822,30.7779,10.3687,13.0239,8.3474,28.259,31.3989,24.4896,13.0924,16.0645,12.1641,270.97,53.6232
Overall_Average,Proposed,27.6551,29.3661,26.2131,15.8862,19.2913,14.3393,29.3055,31.4651,28.4823,15.2095,18.0728,14.2395,1230.19,46.7382
Overall_Average,Local_Meta_Transfer,28.0127,30.4793,25.4459,10.8557,13.4288,9.3024,27.8174,29.8651,24.8574,12.62,15.1631,11.5282,940.66,49.8709
Overall_Average,Transfer_Learning,28.0951,30.4846,25.5809,10.8912,13.5172,9.3038,27.937,29.9362,25.0059,12.4917,15.0404,11.3779,286.33,48.3575
Overall_Average,Meta_Learning,45.8933,48.128,45.1494,22.415,24.6333,20.3545,48.4275,51.2093,47.4649,23.6427,26.1852,22.0284,698.61,74.1049
Overall_Average,Local_PreTraining,35.227,39.7299,33.5141,11.2241,13.8846,9.6299,24.6242,27.5915,21.7585,12.491,15.0519,11.3095,270.97,50.4753
